pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
2 0 0 0 0 1/2-1/2 peterni jckg 1436 1469
0 0 -2 -1 0 0-1 MARIOR peterni 1289 1370
0 -1 0 0 0 0-1 peterni paulomoura 1441 1490
-1 0 0 0 0 1/2-1/2 dashely peterni 1418 1442
-3 1 -1 0 0 1-0 Reynaldito_7 peterni 1471 1447
-2 0 0 0 0 1-0 Sonic322 peterni 1467 1452
-2 1 -1 -1 0 0-1 peterni forinick 1378 1319
-4 0 0 1 -1 1-0 peterni LeoRisingMan 1373 1258
1 1 0 0 0 1-0 Max_Jordan peterni 1418 1459
0 0 0 0 0 1-0 peterni HCThorp 1453 1444
-2 2 -1 0 0 1-0 wbrown358 peterni 1433 1459
-1 1 1 0 1 1-0 greenmill peterni 1419 1465
0 -1 0 0 0 0-1 peterni Edescarcha 1471 1468
1 0 0 0 0 1-0 Edd-Edding-3000 peterni 1415 1478
4 -1 1 0 0 1-0 TheSaladDestroyer peterni 1699 1480
0 0 0 0 0 0-1 peterni gonzoandina 1486 1494
1 0 0 0 -1 0-1 peterni kariri 1283 1214
0 1 0 1 0 1-0 niwals peterni 1467 1492
1 1 0 0 0 0-1 Roedel89 peterni 1466 1486
1 0 0 0 0 0-1 peterni Zecaaracaju 1492 1476
-1 1 -1 0 0 0-1 Zecaaracaju peterni 1486 1486
0 0 1 -1 0 0-1 peterni lukakro 1491 1502
0 0 0 0 -1 0-1 mm2020 peterni 1340 1488
1 0 0 0 0 0-1 saul20 peterni 1379 1483
0 -1 2 0 1 1-0 peterni luisee19 1476 1506
1 -1 1 0 1 1-0 peterni huin 1469 1514
0 0 0 1 0 1-0 cowguru2000 peterni 1432 1476
1 0 0 0 1 1-0 peterni Zecaaracaju 1469 1484
-2 1 0 -1 -1 0-1 Runcis peterni 1377 1464
-1 1 0 0 0 1-0 M1ST1C0 peterni 1421 1471
1 0 0 0 0 1-0 aleks000 peterni 1593 1475
2 -1 0 -1 0 0-1 peterni MRCHEZ 1381 1285
1 0 0 -1 0 0-1 peterni miguel1948 1483 1371
-1 0 0 -1 0 0-1 peterni thanguo678 1487 1637
-2 0 1 0 0 1-0 Julian_Garcia peterni 1512 1493
2 1 0 0 0 1-0 gabrieltavares15 peterni 1440 1386
1 0 1 1 1 1-0 peterni Scorpio88 1383 1211
-1 0 1 -1 0 0-1 PlainOldDavid peterni 1241 1378
-1 -1 0 0 -1 0-1 daddydong peterni 1252 1374
1 1 -1 1 0 1-0 peterni lizy22 1486 1504
1 1 0 1 0 1-0 TinchoVM peterni 1506 1492
0 0 1 0 0 1-0 peterni peter_konstantinou 1485 1513
1 1 -1 0 0 1-0 montecristo peterni 1481 1491
-1 1 -1 1 0 1-0 basketmomo peterni 1458 1497
-2 0 0 0 0 0-1 Star_555 peterni 1368 1492
0 1 0 -1 0 1/2-1/2 peterni Anatoly84 1495 1353
-1 -1 1 0 1 1-0 peterni jendress 1488 1478
-1 0 0 -1 0 0-1 ArashPanteh peterni 988 1487
1 0 0 1 0 1-0 Nhfrnjh54 peterni 1482 1494
1 0 0 1 0 1-0 peterni mh9297 1486 1517
2 0 0 -1 0 1-0 prykaz peterni 1461 1493
0 -1 0 0 1 1-0 Ahmed-salem peterni 1436 1500
-4 -1 -1 -1 -1 0-1 TonyBugow peterni 1270 1497
2 0 -1 0 0 1-0 czbgsrb peterni 1559 1503
1 1 -1 -1 0 0-1 peterni sp24zeem 1510 1481
2 0 0 0 0 1-0 krzysztofmachulski peterni 1553 1515
-1 -1 0 0 0 0-1 dgroovy peterni 1417 1509
3 2 0 0 0 1-0 zeanksa55 peterni 1497 1516
1 0 0 0 1 1-0 peterni chinpat 1512 1343
1 -1 -1 1 -1 0-1 kmk10 peterni 1409 1508
-1 0 0 -1 0 1/2-1/2 peterni teddyd 1272 1371
